epoch,train_loss,test_acc,lr,elapsed_s
0,1.736939751853943,0.4905,0.1,49.98883390426636
1,1.2074090398406983,0.5957,0.1,83.48504185676575
2,0.966110606880188,0.6483,0.1,115.08589005470276
3,0.8025770836257935,0.7272,0.1,146.6782739162445
4,0.7082682931137085,0.7399,0.1,178.938560962677
5,0.6416076058769226,0.7345,0.1,211.74443793296814
6,0.5958225728797912,0.78,0.1,243.94347190856934
7,0.5546925772094726,0.795,0.1,275.1613550186157
8,0.5297302194023132,0.782,0.1,306.37106585502625
9,0.5078788258552551,0.7757,0.1,338.7685899734497
10,0.47911863516807557,0.7974,0.1,370.2691078186035
11,0.4631409106445312,0.8219,0.1,401.6871659755707
12,0.4411999310112,0.8139,0.1,433.42352294921875
13,0.43230748917579653,0.798,0.1,464.7260148525238
14,0.4217242953872681,0.8164,0.1,496.47142791748047
15,0.40930464151382445,0.8157,0.1,527.7485299110413
16,0.3999743285179138,0.8217,0.1,559.3510420322418
17,0.38798830074310303,0.8041,0.1,590.8888330459595
18,0.3779344576454163,0.8323,0.1,622.6193108558655
19,0.37124175908088686,0.8167,0.1,654.1646237373352
20,0.36027106374740603,0.7777,0.1,685.5247437953949
21,0.35520546377182005,0.8061,0.1,717.0678117275238
22,0.3460938469696045,0.822,0.1,748.4539949893951
23,0.346036000957489,0.8353,0.1,1045.8518919944763
24,0.3387875194740295,0.8222,0.1,1854.321116924286
25,0.3357427004432678,0.8428,0.1,1967.455549955368
26,0.32558045894145965,0.8409,0.1,2156.5842769145966
27,0.32444475233078,0.8048,0.1,2611.270768880844
28,0.3179123092651367,0.8247,0.1,2957.277731657028
29,0.3176747275161743,0.8294,0.1,4197.525758981705
30,0.3088709666728973,0.8539,0.1,4276.882441997528
31,0.30377380601882936,0.8469,0.1,4750.894100904465
32,0.3047804386425018,0.8056,0.1,5007.81862282753
33,0.29831094786167145,0.8417,0.1,5176.882618904114
34,0.29686516691207887,0.8536,0.1,5274.570650815964
35,0.2940551490402222,0.8411,0.1,5352.447858810425
36,0.28779797882080077,0.8518,0.1,5434.894289731979
37,0.2912333752536774,0.8483,0.1,6450.320967912674
38,0.28365921555042267,0.8343,0.1,8039.80561876297
39,0.284637947177887,0.8172,0.1,10714.256587982178
40,0.2772366645336151,0.8514,0.1,10795.891175746918
41,0.2796207968902588,0.8538,0.1,10982.903212070465
42,0.27723071043014524,0.8589,0.1,11038.73972082138
43,0.27341766232013703,0.8396,0.1,11709.800519943237
44,0.2690967467689514,0.8456,0.1,12432.579814910889
45,0.27239475618362424,0.8649,0.1,12511.746337890625
46,0.2691306216430664,0.8459,0.1,12591.090958833694
47,0.2677860663127899,0.8517,0.1,12670.669247865677
48,0.26323068768501284,0.8554,0.1,12876.31181693077
49,0.25767522128105164,0.8625,0.010000000000000002,13425.681459903717
50,0.1777943368434906,0.9007,0.010000000000000002,13955.064050912857
51,0.1439793527507782,0.9049,0.010000000000000002,14520.720077037811
52,0.13567571176052093,0.9031,0.010000000000000002,15050.94879102707
53,0.1277205789899826,0.905,0.010000000000000002,15110.161950826645
54,0.1225598370552063,0.9059,0.010000000000000002,15158.05688905716
55,0.11551663380622863,0.9072,0.010000000000000002,15188.67255282402
56,0.11159022627353668,0.9059,0.010000000000000002,17633.191177845
57,0.10723969186306,0.9076,0.010000000000000002,18726.8907058239
58,0.10651050521850586,0.9065,0.010000000000000002,20864.90955376625
59,0.10264243905067444,0.9069,0.010000000000000002,22745.268654823303
60,0.0996464021217823,0.9064,0.010000000000000002,29107.562211036682
61,0.0960390508890152,0.9052,0.010000000000000002,32065.170836925507
62,0.09436882123351097,0.9055,0.010000000000000002,34753.64387893677
63,0.08995173909902572,0.905,0.010000000000000002,35954.2523188591
64,0.09032120418787003,0.9077,0.010000000000000002,38404.84825181961
65,0.08801289232969284,0.9088,0.010000000000000002,40066.55737495422
66,0.08602883665561677,0.9045,0.010000000000000002,44708.10200190544
67,0.0829771181344986,0.9048,0.010000000000000002,46349.1647028923
68,0.08368224340677262,0.9077,0.010000000000000002,156622.9145641327
69,0.0802774700474739,0.9098,0.010000000000000002,156711.17999196053
70,0.07975179485082626,0.905,0.010000000000000002,156774.85599684715
71,0.07731487504959106,0.9096,0.010000000000000002,156819.24623894691
72,0.0772905260193348,0.9091,0.010000000000000002,156852.6048488617
73,0.07261273114800453,0.905,0.010000000000000002,156887.09510493279
74,0.07236553637266159,0.9073,0.0010000000000000002,156921.6119208336
75,0.06561838294446469,0.9097,0.0010000000000000002,156958.5494477749
76,0.06245705349445343,0.9098,0.0010000000000000002,156991.5168287754
77,0.06217301501274109,0.9114,0.0010000000000000002,157023.98565769196
78,0.058612449399232866,0.9118,0.0010000000000000002,157056.650523901
79,0.05705063919425011,0.912,0.0010000000000000002,157089.71293783188
80,0.05970691883563995,0.911,0.0010000000000000002,157126.6924510002
81,0.058666518564224245,0.9124,0.0010000000000000002,157164.16672086716
82,0.05752182548761368,0.912,0.0010000000000000002,157197.73419380188
83,0.057758569021224976,0.9125,0.0010000000000000002,157237.24602389336
84,0.058063021603822706,0.9126,0.0010000000000000002,157277.80985593796
85,0.05628910926580429,0.9127,0.0010000000000000002,157320.74215602875
86,0.05569910019636154,0.9117,0.0010000000000000002,157360.6297557354
87,0.05710576614141464,0.9115,0.0010000000000000002,157393.2580909729
88,0.05582603467464447,0.9133,0.0010000000000000002,157425.73603510857
89,0.05568556028604507,0.9114,0.0010000000000000002,157457.1601679325
90,0.0549090145534277,0.9121,0.0010000000000000002,157488.61163282394
91,0.05494826755642891,0.9131,0.0010000000000000002,157523.19550204277
92,0.054733146340847014,0.9119,0.0010000000000000002,157561.00873279572
93,0.053642042064666745,0.9122,0.0010000000000000002,157598.87185192108
94,0.05577141962528229,0.9132,0.0010000000000000002,157631.71357488632
95,0.054898398230075834,0.9118,0.0010000000000000002,157666.02341604233
96,0.05425961935758591,0.9114,0.0010000000000000002,157699.01241898537
97,0.05308586291193962,0.9124,0.0010000000000000002,157737.50467300415
98,0.05285393526315689,0.9123,0.0010000000000000002,157773.23145484924
99,0.05265333211302757,0.9123,0.0010000000000000002,157819.30956482887
